index,Users_1,Signups_1,Sessions_1,Pageviews_1,Bounces_1
TX,810960.0,49935.0,1122919.0,3495880.0,489322.0
CA,431818.0,24359.0,589481.0,1791779.0,259638.0
GA,427377.0,24069.0,579592.0,1857872.0,256416.0
NC,392998.0,23437.0,523256.0,1614914.0,228671.0
NY,389476.0,20710.0,549386.0,1835865.0,234359.0
IL,381040.0,20791.0,534891.0,1776621.0,228142.0
OH,346129.0,20683.0,480464.0,1538561.0,206561.0
PA,335549.0,18750.0,458670.0,1461833.0,196538.0
MI,277838.0,14651.0,400511.0,1323006.0,167417.0
VA,264218.0,12060.0,350467.0,1125117.0,165856.0
TN,251260.0,16188.0,336688.0,1081371.0,143956.0
IN,210849.0,12431.0,282416.0,901023.0,120209.0
MO,198258.0,12827.0,263478.0,832727.0,116876.0
AL,178922.0,11609.0,241712.0,759495.0,105423.0
WA,178314.0,11000.0,249938.0,850349.0,105899.0
CO,170511.0,11111.0,240549.0,819980.0,99574.0
WI,167020.0,9360.0,226479.0,745083.0,96775.0
MN,151124.0,7670.0,207037.0,661104.0,90137.0
KY,144461.0,9388.0,189476.0,610244.0,81671.0
MA,142953.0,8382.0,191433.0,585913.0,84451.0
AZ,142636.0,8329.0,198950.0,637298.0,86936.0
SC,138588.0,8621.0,180512.0,561609.0,80377.0
OK,137502.0,9046.0,190319.0,609028.0,81141.0
LA,129758.0,7033.0,173766.0,538437.0,74715.0
AR,104314.0,6558.0,138168.0,446105.0,59164.0
NJ,101058.0,5047.0,132136.0,392233.0,61468.0
MS,96140.0,5073.0,127508.0,412943.0,55964.0
IA,92069.0,5075.0,122061.0,411539.0,51947.0
KS,88336.0,5181.0,119438.0,371733.0,53901.0
OR,84396.0,5103.0,114022.0,366842.0,48452.0
OR,84396.0,5103.0,114022.0,366842.0,48452.0
NE,70645.0,4202.0,94076.0,310424.0,39593.0
NV,67150.0,4495.0,92096.0,290667.0,38136.0
WV,64905.0,3328.0,89396.0,292813.0,37822.0
CT,64614.0,3567.0,86456.0,268741.0,36840.0
UT,63526.0,4362.0,90664.0,305955.0,37477.0
NM,46390.0,2535.0,59325.0,192967.0,26078.0
ME,42078.0,2348.0,58981.0,204500.0,23675.0
ID,38719.0,2353.0,51124.0,162500.0,21636.0
NH,37848.0,2140.0,51467.0,174826.0,20840.0
SD,29386.0,1557.0,38670.0,125207.0,16768.0
ND,25257.0,1264.0,33566.0,121795.0,13962.0
DE,20998.0,1077.0,27981.0,86298.0,12536.0
DE,20998.0,1077.0,27981.0,86298.0,12536.0
AK,18039.0,1184.0,24200.0,81856.0,10315.0
WY,17983.0,1026.0,25814.0,94183.0,9703.0
WY,17983.0,1026.0,25814.0,94183.0,9703.0
HI,17352.0,1079.0,22827.0,71516.0,10711.0
RI,16183.0,654.0,23569.0,76672.0,9814.0
VT,16052.0,971.0,22084.0,75219.0,9362.0
